name,name_clean,country,phone,email,website,description,source
Acai Berry Foods,Acai Berry Foods,Brazil,,,,,gulfood_dubai
Acai Petruz,Acai Petruz,Brazil,,,,,gulfood_dubai
ACE CANNING CORPORATION SDN BHD,ACE CANNING CORPORATION SDN BHD,Malaysia,,,,,gulfood_dubai
Aceitunas Cazorla,Aceitunas Cazorla,Spain,,,,,gulfood_dubai
Aceitunas Sanmer Olives,Aceitunas Sanmer Olives,Spain,,,,,gulfood_dubai
ACI FOODS LIMITED,ACI FOODS LIMITED,Bangladesh,,,,,gulfood_dubai
ADABI FROZEN FOOD SDN BHD,ADABI FROZEN FOOD SDN BHD,Malaysia,,,,,gulfood_dubai
ADALILAR KURUYEMIS A.S,ADALILAR KURUYEMIS A.S,Türkiye,,,,,gulfood_dubai
Adam Foods,Adam Foods,Spain,,,,,gulfood_dubai
Adamexpo,Adamexpo,Sri Lanka,,,,,gulfood_dubai
ADD-ME FOR FOOD INDUSTRIES,ADD-ME FOR FOOD INDUSTRIES,Egypt,,,,,gulfood_dubai
Adnan Khudari & Sons Trading Co,Adnan Khudari & Sons Trading Co,Jordan,,,,,gulfood_dubai
Adolf Darbo Aktiengesellschaft,Adolf Darbo Aktiengesellschaft,Austria,,,,,gulfood_dubai
Adonis Spices,Adonis Spices,Lebanon,,,,,gulfood_dubai
Aducktive Food Sdn Bhd,Aducktive Food Sdn Bhd,Malaysia,,,,,gulfood_dubai
AEP - Portuguese Business Association,AEP - Portuguese Business Association,Portugal,,,,,gulfood_dubai
Afaa Group Industries Sdn Bhd,Afaa Group Industries Sdn Bhd,Malaysia,,,,,gulfood_dubai
AFP advanced food products llc,AFP advanced food products llc,United States of America,,,,,gulfood_dubai
Africa Gateway,Africa Gateway,Libya,,,,,gulfood_dubai
AFRIMEX-ECODATTES,AFRIMEX-ECODATTES,Tunisia,,,,,gulfood_dubai
Aftab Talaee Parsian,Aftab Talaee Parsian,Iran,,,,,gulfood_dubai
AG Agro Foods Ltd,AG Agro Foods Ltd,Bangladesh,,,,,gulfood_dubai
AG Olives - Aceitunas Guadalquivir,AG Olives - Aceitunas Guadalquivir,Spain,,,,,gulfood_dubai
AGA,AGA,Egypt,,,,,gulfood_dubai
Age Well Company,Age Well Company,Saudi Arabia,,,,,gulfood_dubai
Aghati for Sweets & Ice Cream Co. Ltd,Aghati for Sweets & Ice Cream Co. Ltd,Jordan,,,,,gulfood_dubai
AGRARCO,AGRARCO,Azerbaijan,,,,,gulfood_dubai
Agrico Agricultural Development,Agrico Agricultural Development,Qatar,,,,,gulfood_dubai
Agricultural Cooperatives Union Aeghion SA,Agricultural Cooperatives Union Aeghion SA,Greece,,,,,gulfood_dubai
Agricultural Marketing Co. Ltd,Agricultural Marketing Co. Ltd,Bangladesh,,,,,gulfood_dubai
Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Canada,,,,,gulfood_dubai
AGRIM SPICES & COCONUT PTE LTD,AGRIM SPICES & COCONUT PTE LTD,Indonesia,,,,,gulfood_dubai
"AGRINUTS VIETNAM TRADING CO., LTD","AGRINUTS VIETNAM TRADING CO., LTD",Vietnam,,,,,gulfood_dubai
Agriverdi,Agriverdi,Egypt,,,,,gulfood_dubai
Agro Fergi SAC,Agro Fergi SAC,Peru,,,,,gulfood_dubai
AGRO JUICE PROCESSING-AJP,AGRO JUICE PROCESSING-AJP,Morocco,,,,,gulfood_dubai
Agrofusion,Agrofusion,Ukraine,,,,,gulfood_dubai
Agrolane Ltd,Agrolane Ltd,Georgia,,,,,gulfood_dubai
Agromar,Agromar,Chile,,,,,gulfood_dubai
Agropartner,Agropartner,Serbia,,,,,gulfood_dubai
Agropecuaria del Consuelo S.A. de C.V,Agropecuaria del Consuelo S.A. de C.V,Mexico,,,,,gulfood_dubai
Agroptimum,Agroptimum,Spain,,,,,gulfood_dubai
Agrosevilla,Agrosevilla,Spain,,,,,gulfood_dubai
AGROSPRINT,AGROSPRINT,Hungary,,,,,gulfood_dubai
Agym Nutrition Sdn Bhd,Agym Nutrition Sdn Bhd,Malaysia,,,,,gulfood_dubai
Ahlia Food Factory for Food Industries,Ahlia Food Factory for Food Industries,Kuwait,,,,,gulfood_dubai
Ahmed Mohamed Saleh Baeshen & Co,Ahmed Mohamed Saleh Baeshen & Co,Saudi Arabia,,,,,gulfood_dubai
AHT FOODS,AHT FOODS,Iran,,,,,gulfood_dubai
AICHA - LES CONSERVES DE MEKNES,AICHA - LES CONSERVES DE MEKNES,Morocco,,,,,gulfood_dubai
Aigua de Sant Aniol,Aigua de Sant Aniol,Spain,,,,,gulfood_dubai
AJ Products Natal CC,AJ Products Natal CC,South Africa,,,,,gulfood_dubai
AJINORIKI MSG (MALAYSIA) SDN BHD,AJINORIKI MSG (MALAYSIA) SDN BHD,Malaysia,,,,,gulfood_dubai
Akdaglar Dried Food,Akdaglar Dried Food,Türkiye,,,,,gulfood_dubai
"Akgöl Dairy Products Manufacturing and Packaging Co., Ltd","Akgöl Dairy Products Manufacturing and Packaging Co., Ltd",Cyprus,,,,,gulfood_dubai
Akhodonia Sweets,Akhodonia Sweets,Jordan,,,,,gulfood_dubai
Akij Essentials Limited,Akij Essentials Limited,Bangladesh,,,,,gulfood_dubai
Akmas Kavir Khoshab,Akmas Kavir Khoshab,Iran,,,,,gulfood_dubai
Aksam Sp. z o.o. Sp. k,Aksam Sp. z o.o. Sp. k,Poland,,,,,gulfood_dubai
Al Ahram Beverages Company,Al Ahram Beverages Company,Egypt,,,,,gulfood_dubai
Al Ameed Coffee Roasters & Mills,Al Ameed Coffee Roasters & Mills,Kuwait,,,,,gulfood_dubai
AL Amin Co,AL Amin Co,Syria,,,,,gulfood_dubai
Al Amira Nuts,Al Amira Nuts,Lebanon,,,,,gulfood_dubai
Al Amoudi Group & Partners Company,Al Amoudi Group & Partners Company,Saudi Arabia,,,,,gulfood_dubai
Al Ard Palestinian Agri-products Ltd,Al Ard Palestinian Agri-products Ltd,Palestine,,,,,gulfood_dubai
Al Arz Ice Cream Co,Al Arz Ice Cream Co,Palestine,,,,,gulfood_dubai
AL BADR FOR INVESTMENTS - FROZENA,AL BADR FOR INVESTMENTS - FROZENA,Egypt,,,,,gulfood_dubai
Al Bandar Group - Habibah Sweets,Al Bandar Group - Habibah Sweets,Jordan,,,,,gulfood_dubai
Al Barakat Sweets,Al Barakat Sweets,Jordan,,,,,gulfood_dubai
Al Barakeh Food Industries LLC,Al Barakeh Food Industries LLC,Jordan,,,,,gulfood_dubai
AL Batta,AL Batta,Syria,,,,,gulfood_dubai
Al Bayrouty,Al Bayrouty,Jordan,,,,,gulfood_dubai
AL DAYFE DATES FACTORY,AL DAYFE DATES FACTORY,Saudi Arabia,,,,,gulfood_dubai
Al Faris Food Industries Ltd,Al Faris Food Industries Ltd,Saudi Arabia,,,,,gulfood_dubai
Al fursan International for Food Industries,Al fursan International for Food Industries,Egypt,,,,,gulfood_dubai
Al Gota Co,Al Gota Co,Syria,,,,,gulfood_dubai
Al Hamadanya Sweets,Al Hamadanya Sweets,Jordan,,,,,gulfood_dubai
AL JAZIRA FOOD PROCESSING,AL JAZIRA FOOD PROCESSING,Saudi Arabia,,,,,gulfood_dubai
AL JOOD FOOD FACTORY (SFZ) LLC,AL JOOD FOOD FACTORY (SFZ) LLC,Oman,,,,,gulfood_dubai
AL KANATER SAL,AL KANATER SAL,Lebanon,,,,,gulfood_dubai
Al Karma Kitchen,Al Karma Kitchen,Jordan,,,,,gulfood_dubai
AL Khair Premium Herbal Products,AL Khair Premium Herbal Products,Pakistan,,,,,gulfood_dubai
Al Khair Trading Company Ltd,Al Khair Trading Company Ltd,Saudi Arabia,,,,,gulfood_dubai
Al Khayrat International USA Inc,Al Khayrat International USA Inc,United States of America,,,,,gulfood_dubai
Al Moaseroon Food Industries,Al Moaseroon Food Industries,Jordan,,,,,gulfood_dubai
Al Mostafa for Trading and Supplies,Al Mostafa for Trading and Supplies,Egypt,,,,,gulfood_dubai
AL Muharraq Pickles And Spices Factory W.L.L,AL Muharraq Pickles And Spices Factory W.L.L,Bahrain,,,,,gulfood_dubai
Al Murjan For Canned Food Co,Al Murjan For Canned Food Co,France,,,,,gulfood_dubai
AL Nada for Food Industries,AL Nada for Food Industries,Egypt,,,,,gulfood_dubai
Al Raed Co,Al Raed Co,Syria,,,,,gulfood_dubai
AL RAEE FOR HALAWA AND TAHINI,AL RAEE FOR HALAWA AND TAHINI,Egypt,,,,,gulfood_dubai
Al Rai Food Industries,Al Rai Food Industries,Saudi Arabia,,,,,gulfood_dubai
Al Raky for Food Indutries,Al Raky for Food Indutries,Syria,,,,,gulfood_dubai
Al Rawabi Al Baida General Trading Co. Kabatilo,Al Rawabi Al Baida General Trading Co. Kabatilo,Jordan,,,,,gulfood_dubai
Al Rwad Co. Agricultural Investment and International Trade,Al Rwad Co. Agricultural Investment and International Trade,Palestine,,,,,gulfood_dubai
Al Sakr for Food Industries,Al Sakr for Food Industries,Egypt,,,,,gulfood_dubai
Al Salam Mills Co,Al Salam Mills Co,Jordan,,,,,gulfood_dubai
Al Salwa Meat Factory,Al Salwa Meat Factory,Bahrain,,,,,gulfood_dubai
Al Samou Coffee Company Al Diaa Mills,Al Samou Coffee Company Al Diaa Mills,Jordan,,,,,gulfood_dubai
Al Shamal Food Factory,Al Shamal Food Factory,Qatar,,,,,gulfood_dubai
Al Tahhan Golden Dates,Al Tahhan Golden Dates,Egypt,,,,,gulfood_dubai
Al Wefak Al Saudi for Food Industries,Al Wefak Al Saudi for Food Industries,Egypt,,,,,gulfood_dubai
Al Zomoroda for Food Industries Noodles Rice Corn starch glucose Maltodextrin,Al Zomoroda for Food Industries Noodles Rice Corn starch glucose Maltodextrin,Egypt,,,,,gulfood_dubai
AL-GROUP LLC,AL-GROUP LLC,Russian Federation,,,,,gulfood_dubai
AL-HASA AUTOMATIC BAKERY CO,AL-HASA AUTOMATIC BAKERY CO,Saudi Arabia,,,,,gulfood_dubai
"Al-Mashareq Al-Alamia Food Industries, General Trade Import and Export Ltd","Al-Mashareq Al-Alamia Food Industries, General Trade Import and Export Ltd",Iraq,,,,,gulfood_dubai
Al-Noman Brothers Company Factory,Al-Noman Brothers Company Factory,Saudi Arabia,,,,,gulfood_dubai
Al-Turaif International Investment Company,Al-Turaif International Investment Company,Saudi Arabia,,,,,gulfood_dubai
Alaela Factory,Alaela Factory,Iraq,,,,,gulfood_dubai
ALAHLAM,ALAHLAM,Syria,,,,,gulfood_dubai
Alaiz Foods,Alaiz Foods,Spain,,,,,gulfood_dubai
Alakkad Company for Industry & Trade,Alakkad Company for Industry & Trade,Syria,,,,,gulfood_dubai
Alarjawi for Food Industries,Alarjawi for Food Industries,Syria,,,,,gulfood_dubai
ALASEAL HONEY,ALASEAL HONEY,Egypt,,,,,gulfood_dubai
Alaseel Dates,Alaseel Dates,Saudi Arabia,,,,,gulfood_dubai
Alattar & Alshami,Alattar & Alshami,Syria,,,,,gulfood_dubai
ALBANIAN HERB,ALBANIAN HERB,Albania,,,,,gulfood_dubai
AlBawasiq company for  Food Industries,AlBawasiq company for  Food Industries,Saudi Arabia,,,,,gulfood_dubai
"Alborz Chamber of Commerce, Industries, Mines & Agriculture (ACCIMA","Alborz Chamber of Commerce, Industries, Mines & Agriculture (ACCIMA",Iran,,,,,gulfood_dubai
Alca Foods,Alca Foods,Brazil,,,,,gulfood_dubai
ALDOHA FOODS,ALDOHA FOODS,Egypt,,,,,gulfood_dubai
ALDURRA International Food Products Company Ltd,ALDURRA International Food Products Company Ltd,Syria,,,,,gulfood_dubai
Alex Fish For Fish Processing,Alex Fish For Fish Processing,Egypt,,,,,gulfood_dubai
Alfa Food Line LLC,Alfa Food Line LLC,Uzbekistan,,,,,gulfood_dubai
Alfa Tradings,Alfa Tradings,Pakistan,,,,,gulfood_dubai
ALFAFROST S.A.E,ALFAFROST S.A.E,Egypt,,,,,gulfood_dubai
ALFIERO,ALFIERO,Belgium,,,,,gulfood_dubai
Algist Bruggeman,Algist Bruggeman,Belgium,,,,,gulfood_dubai
Alhamwi LLC,Alhamwi LLC,Ukraine,,,,,gulfood_dubai
Alhelal | Tahini & Halva Manufacturing,Alhelal | Tahini & Halva Manufacturing,Palestine,,,,,gulfood_dubai
ALI APRICOT LLC,ALI APRICOT LLC,Tajikistan,,,,,gulfood_dubai
Ali baba foods,Ali baba foods,Iraq,,,,,gulfood_dubai
Alimad Food,Alimad Food,Belgium,,,,,gulfood_dubai
Alimani,Alimani,Morocco,,,,,gulfood_dubai
Alin Food Products Limited,Alin Food Products Limited,Bangladesh,,,,,gulfood_dubai
Alisya Pastacilik ve Gida Sanayi ve Ticaret Limited Sirketi,Alisya Pastacilik ve Gida Sanayi ve Ticaret Limited Sirketi,Türkiye,,,,,gulfood_dubai
Alka Power Alkaline Water,Alka Power Alkaline Water,Australia,,,,,gulfood_dubai
Alkamel Factory W.L.L,Alkamel Factory W.L.L,Bahrain,,,,,gulfood_dubai
Alkan Zeytincilik Gida Insaat Petrol NakliyatTicaret Ve Sanayi Limited Sirketi,Alkan Zeytincilik Gida Insaat Petrol NakliyatTicaret Ve Sanayi Limited Sirketi,Türkiye,,,,,gulfood_dubai
Alkotof Aldanya for Dates Co,Alkotof Aldanya for Dates Co,Jordan,,,,,gulfood_dubai
Allbrands Industria de Alimentos SA,Allbrands Industria de Alimentos SA,Brazil,,,,,gulfood_dubai
Allcomex Intl Business,Allcomex Intl Business,Brazil,,,,,gulfood_dubai
"ALLGOT CO.,LTD","ALLGOT CO.,LTD",Republic Of Korea,,,,,gulfood_dubai
Allied International Corporation of Virginia,Allied International Corporation of Virginia,United States of America,,,,,gulfood_dubai
Almada Export,Almada Export,Brazil,,,,,gulfood_dubai
Almakased,Almakased,Syria,,,,,gulfood_dubai
Almanar Trading Company,Almanar Trading Company,Syria,,,,,gulfood_dubai
Almas Kavir Jonoob Pistachio,Almas Kavir Jonoob Pistachio,Iran,,,,,gulfood_dubai
Almerro Group LLC,Almerro Group LLC,Uzbekistan,,,,,gulfood_dubai
Almohamadia Dates Company,Almohamadia Dates Company,Saudi Arabia,,,,,gulfood_dubai
Almona Co. for Production of Tahini & Halwa Tahini,Almona Co. for Production of Tahini & Halwa Tahini,Saudi Arabia,,,,,gulfood_dubai
Almonairy Holding,Almonairy Holding,Egypt,,,,,gulfood_dubai
Almond Board of Australia,Almond Board of Australia,Australia,,,,,gulfood_dubai
Almond Board Of California,Almond Board Of California,United States of America,,,,,gulfood_dubai
Alpen Milk,Alpen Milk,Georgia,,,,,gulfood_dubai
ALRABIE SAUDI FOODS,ALRABIE SAUDI FOODS,Saudi Arabia,,,,,gulfood_dubai
ALRAIJA,ALRAIJA,Iraq,,,,,gulfood_dubai
Alraji group FOR soft drink and juices and healthy water,Alraji group FOR soft drink and juices and healthy water,Iraq,,,,,gulfood_dubai
Alsaif Coffee Trading Company,Alsaif Coffee Trading Company,Saudi Arabia,,,,,gulfood_dubai
ALSHARA FOOD PRODUCTION,ALSHARA FOOD PRODUCTION,Oman,,,,,gulfood_dubai
Alta Kraina,Alta Kraina,Ukraine,,,,,gulfood_dubai
AlTayseer international for Mills,AlTayseer international for Mills,Egypt,,,,,gulfood_dubai
ALTERNATIVA LLC,ALTERNATIVA LLC,Russian Federation,,,,,gulfood_dubai
"Alternativa3, SCCL","Alternativa3, SCCL",Spain,,,,,gulfood_dubai
ALTESSE QUALITY FOOD,ALTESSE QUALITY FOOD,Belgium,,,,,gulfood_dubai
Altimate Foods Pty Ltd,Altimate Foods Pty Ltd,Australia,,,,,gulfood_dubai
Altiparmak Gida San. Ve Tic. A.S. - Balparmak,Altiparmak Gida San. Ve Tic. A.S. - Balparmak,Türkiye,,,,,gulfood_dubai
Altunkaya Ins. Nak. Gida Tic. A.S,Altunkaya Ins. Nak. Gida Tic. A.S,Türkiye,,,,,gulfood_dubai
Aluksne Poultry Farm,Aluksne Poultry Farm,Latvia,,,,,gulfood_dubai
ALVIVA UKRAINE LLC,ALVIVA UKRAINE LLC,Ukraine,,,,,gulfood_dubai
ALYSH-DAN ORGANIC Agricultural Cooperative,ALYSH-DAN ORGANIC Agricultural Cooperative,Kyrgyzstan,,,,,gulfood_dubai
Am Group Misr,Am Group Misr,Egypt,,,,,gulfood_dubai
AM Honey Group,AM Honey Group,Spain,,,,,gulfood_dubai
AM-AM Agro-Industrial Holding JSC,AM-AM Agro-Industrial Holding JSC,Russian Federation,,,,,gulfood_dubai
Amalfi Foods,Amalfi Foods,Bahrain,,,,,gulfood_dubai
AMANI AGROALIMENTAIRE,AMANI AGROALIMENTAIRE,Morocco,,,,,gulfood_dubai
"AMARIN THAI BEVERAGE CO., LTD","AMARIN THAI BEVERAGE CO., LTD",Thailand,,,,,gulfood_dubai
Amazon Polpas,Amazon Polpas,Brazil,,,,,gulfood_dubai
AMAZONAS4U,AMAZONAS4U,Brazil,,,,,gulfood_dubai
Amazonbai,Amazonbai,Brazil,,,,,gulfood_dubai
AMBALA BAKERS & SWEETS,AMBALA BAKERS & SWEETS,Pakistan,,,,,gulfood_dubai
"Amber pasta, JSC","Amber pasta, JSC",Lithuania,,,,,gulfood_dubai
Ambra Grain LLC,Ambra Grain LLC,Ukraine,,,,,gulfood_dubai
Ambrosia Oils (1976) Limited,Ambrosia Oils (1976) Limited,Cyprus,,,,,gulfood_dubai
Ameen Products Sdn Bhd,Ameen Products Sdn Bhd,Malaysia,,,,,gulfood_dubai
AMEL Extract Sh.p.k,AMEL Extract Sh.p.k,Albania,,,,,gulfood_dubai
American Pop Corn Co. / Groceries USA,American Pop Corn Co. / Groceries USA,United States of America,,,,,gulfood_dubai
American Specialty Foods Co,American Specialty Foods Co,United States of America,,,,,gulfood_dubai
"American Trading International, Inc","American Trading International, Inc",United States of America,,,,,gulfood_dubai
Ameva Fine Foods,Ameva Fine Foods,Egypt,,,,,gulfood_dubai
Amidos Eldorado Foods,Amidos Eldorado Foods,Brazil,,,,,gulfood_dubai
Amin Septiko Co,Amin Septiko Co,Iran,,,,,gulfood_dubai
AMNA FOOD INDUSTRIES,AMNA FOOD INDUSTRIES,Pakistan,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
"""ATS Food"" LLC","""ATS Food"" LLC",,,,,,gulfood_dubai
