67568,PANZER BREWERY,Россия,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+7 (939) 009-5249,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67569,PARADOX BREWERY (INCIDER TM),Россия,,"set the task of producing delicious beer, cider, mead, or kvass and popularizing the craft culture of consumption!, ПАВ. ЦЕНТРАЛЬНЫЙ, СТЕНД CC15 / PAV. CENTRAL, STAND CC15",+7 (921) 382-7232,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67570,PEYBA GIDA TAR.  TURZ.  HAYV.  İNŞ.  SAN.  VE TIC.  A. Ş.,Турция,,"URUNLERI SANAYI TIC AS, Турция / Türkiye, ПАВ. 2, ЗАЛ 4, СТЕНД 24B26 / PAV. 2, HALL 4, STAND 24B26",+90 0262 643 90 70,,,,,prodexpo_2025,,"{""stand"": ""24""}",2026-06-19T21:18:25.168506+00:00
67571,PLUSHA & FRIENDS,Россия,,"low and green beans, cauliflower, broccoli, baby mixes, vari-, ous vegetable mixes., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+7 (495) 649-8402,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.168506+00:00
67572,POLENGHI FOOD S. R. L.,Италия,,"We are producers of drying fruit, especially plums, as well as, frozen fruit., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+39 0377 569120,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.168506+00:00
67573,PONNATH,Россия,,"Lemon and lime juices from concentrate for condiment,, bakery, sauces, hot or fresh drinks and mixology., ПАВ. 1, СТЕНД 1D24 / PAV. 1, STAND 1D24",+7 (495) 739-5898,,,,,prodexpo_2025,,"{""stand"": ""1""}",2026-06-19T21:18:25.168506+00:00
67574,PROSTO PETRO GROUP,Россия,,"PROGUM TICARET OOO, Республика Узбекистан / Republic of Uzbekistan, ПАВ. 8, ЗАЛ 2, СТЕНД 82B01 / PAV. 8, HALL 2, STAND 82B01",+7 (812) 702-6222,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.168506+00:00
67575,PUCCI S. R. L.,Италия,,"confectionery glazes and other products of the confection-, ery and grocery groups., ПАВ. 2, ЗАЛ 3, СТЕНД 23D82 / PAV. 2, HALL 3, STAND 23D82",+39 0545 31950,,,,,prodexpo_2025,,"{""stand"": ""23""}",2026-06-19T21:18:25.168506+00:00
67576,QINGDAO BESWOR IMP.  & EXP.  CO.  LTD,Китай,,"QIANHE CONDIMENT AND FOOD CO.  LTD, Китай / China, ПАВ. 1, СТЕНД 1G80 / PAV. 1, STAND 1G80",+86 13964265475,,,,,prodexpo_2025,,"{""stand"": ""1""}",2026-06-19T21:18:25.168506+00:00
67577,QINGDAO BRAWNUTS FOODSTUFF CO.  LTD,Китай,,"and canned food to Russia, Europe, Southeast Asia, South, and North America for many years., ПАВ. 8, ЗАЛ 3, СТЕНД 83C61 / PAV. 8, HALL 3, STAND 83C61",+86 53285627088,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67578,QINGDAO DONGTAI IMP & EXP CO.  LTD,Китай,,"r of raw materials, including nuts, seeds, dried, fruit and spices. Customers’ trust means everything to us., ПАВ. 8, ЗАЛ 3, СТЕНД 83C64 / PAV. 8, HALL 3, STAND 83C64",+86 53268722599,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67579,AND EXPORT CO.  LTD,Китай,,"Китай / China, ПАВ. 1, СТЕНД 1G82 / PAV. 1, STAND 1G82, QINGDAO RISHPRO INTERNATIONAL IMPORT",+86 23655322937,,,,,prodexpo_2025,,"{""stand"": ""26""}",2026-06-19T21:18:25.168506+00:00
67580,QINGDAO SUNNYWELL IMP & EXP CO.  LTD,Китай,,"Our company specializes in providing frozen vegetables,, fruit, meat products, and VF/FD products., ПАВ. 8, ЗАЛ 3, СТЕНД 83A69 / PAV. 8, HALL 3, STAND 83A69",+86 532 80908690,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67581,QINGDAO YUNDA FOODS CO.  LTD,Китай,,"bles, fruit and seafoods from China, we’ve been working, with Russian market for over 20 years., ПАВ. 8, ЗАЛ 3, СТЕНД 83C62 / PAV. 8, HALL 3, STAND 83C62",+86 18766202925,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67582,RAISA INTERNATIONAL TRADERS S. A,Швейцария,,"2025, ПАВИЛЬОН ФОРУМ, СТЕНД FD020",+41 782385300,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67583,RAVITO,Россия,,"company specializing in food sales and delivery. We operate, in the Retail, HoReCa, and Enterprise sectors., ПАВ. 8, ЗАЛ 3, СТЕНД 83C01 / PAV. 8, HALL 3, STAND 83C01",8 800 600-4590,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67584,RAWGA INC.,Республика Корея,,"ers’ final products with cheaper and higher-quality ones. We, increase product margins., ПАВ. 2, ЗАЛ 6, СТЕНД 26B95 / PAV. 2, HALL 6, STAND 26B95",,,,,,prodexpo_2025,,"{""stand"": ""26""}",2026-06-19T21:18:25.168506+00:00
67585,RED MEAT ТМ,Россия,,"under its own brands: QAZAQSTAN, HALAL SHAI, APASHKA,, KAZASHKA., ПАВ. 1, ВЕРХНИЙ УРОВЕНЬ, СТЕНД 12D38 / PAV. 1, UPPER LEVEL, STAND 12D38",+7 (904) 895-5086,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.168506+00:00
67586,RETAIL. RU,Россия,,"RELAX TEX OOO (GIGO TM), Республика Узбекистан / Republic of Uzbekistan, ПАВ. 8, ЗАЛ 2, СТЕНД 82B01 / PAV. 8, HALL 2, STAND 82B01",+7 (499) 976-0828,,,,,prodexpo_2025,,"{""stand"": ""22""}",2026-06-19T21:18:25.459055+00:00
67587,REWORT BREWERY,Россия,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+7 (495) 144-9494,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67588,RITA FOOD AND DRINK CO.  LTD,Вьетнам,,"the Rewort, Coma, Orthodox brands, and also produce non-, alcoholic beverages: lemonades and teas., ПАВ. ЦЕНТРАЛЬНЫЙ, СТЕНД CA40 / PAV. CENTRAL, STAND CA40",+84 2743784788,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67589,RKARE GIDA TURIZM TICARET VE SANAYI LTD.  ŞTI.,Турция,,"cluding fruit juice, coconut water, coffee drinks, bubble milk, tea, and more., ПАВ. 8, ЗАЛ 3, СТЕНД 83C65 / PAV. 8, HALL 3, STAND 83C65",+90 (224) 442 8800,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67590,SABATINO ITALIA S. R. L.,Италия,,"brands, the products combine quality and unique flavors to, delight consumers., ПАВ. 2, ЗАЛ 5, СТЕНД 25A85 / PAV. 2, HALL 5, STAND 25A85",+39 0744-940187,,,,,prodexpo_2025,,"{""stand"": ""25""}",2026-06-19T21:18:25.459055+00:00
67591,SAMJIN Corporation,Республика Корея,,"ста, сосусы, компоты., Canned foods. Jams. Pickleds. Tomato paste, sauces, compotes., ПАВ. 8, ЗАЛ 3, СТЕНД 83B40 / PAV. 8, HALL 3, STAND 83B40",+82 2-422-9473,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67592,SANMENXIA HUAYANG FOODSTUFF CO.  LTD,Китай,,"we have been exporting products worldwide like mochi, pies, chocolate bars, etc., ПАВ. 8, ЗАЛ 3, СТЕНД 83B64 / PAV. 8, HALL 3, STAND 83B64",+86 07122842555,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67593,GROUP (SFG),Турция,,"Fruit juices, concentrates and purees., ПАВ. 8, ЗАЛ 3, СТЕНД 83B44 / PAV. 8, HALL 3, STAND 83B44, SATISFACTORY FOODS",+90 2126634299,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67594,SCANDALIST,Россия,,"croissants, macarons and traditional Turkish baked goods., We also offer ice cream, mochi, and frozen sushi., ПАВ. ФОРУМ, СТЕНД FD010 / PAV. FORUM, STAND FD010",+7 (921) 515-1501,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67595,SCANDIC,Россия,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+7 (906) 227-4784,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67596,SEWON CNS,Республика Корея,,"brandy, Raspberry, Sour Cherry, Herbal liquor, Whisky, Vodka,, Wine brandy., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+82 70-4465-3191,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.459055+00:00
67597,SHAANXI QIFENG IKIWI IMPORT & EXPORT CO.  LTD,Китай,,"American products in Russia. Currently, we are collaborating, with Lanix M Corp., ПАВ. 8, ЗАЛ 3, СТЕНД 83B58 / PAV. 8, HALL 3, STAND 83B58",+86 153 63995193,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67598,SHAH BROTHERS,Индия,,"sweets and chocolate under the Mega Star brand. Mega Star, produces toffees, chocolate, wafers and cookies., ПАВ. 8, ЗАЛ 3, СТЕНД 83B35 / PAV. 8, HALL 3, STAND 83B35",,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67599,SHANDONG JIA YING FOOD CO.  LTD,Китай,,"2025, ПАВИЛЬОН ФОРУМ, СТЕНД FD020",+7 (984) 154-7666,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67600,SHANDONG JINGTE FOOD CO.  LTD,Китай,,"SHANDONG JINGNAN FOOD CO.  LTD, Китай / China, ПАВ. 8, ЗАЛ 3, СТЕНД 83D40 / PAV. 8, HALL 3, STAND 83D40",+86 15154699678,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67601,SIBERIA MARKET,Россия,,"baked snack production. With 2 factories, 6 workshops, and, 23 production lines, we welcome you to contact us anytime!, ПАВ. 2, ЗАЛ 6, СТЕНД 26A65 / PAV. 2, HALL 6, STAND 26A65",+7 (996) 381-5991,,,,,prodexpo_2025,,"{""stand"": ""26""}",2026-06-19T21:18:25.459055+00:00
67602,SICA S. R. L.,Италия,,"supply control. An assortment that will bring maximum ben-, efit to your business., ПАВ. 2, ЗАЛ 4, СТЕНД 24B01 / PAV. 2, HALL 4, STAND 24B01",+39 081 5187187,,,,,prodexpo_2025,,"{""stand"": ""24""}",2026-06-19T21:18:25.459055+00:00
67603,SIMBIRSK ATELIER CONFECTIONERY FACTORY,Россия,,"toes, fine chopped tomatoes, flavoured pizza sauce. Prod-, ucts for foodservice., ПАВ. 1, СТЕНД 1D24 / PAV. 1, STAND 1D24",8 800 250-7250,,,,,prodexpo_2025,,"{""stand"": ""1""}",2026-06-19T21:18:25.459055+00:00
67604,ŞIMŞEKOĞULLARI GIDA SAN.  VE TIC.  LTD.  ŞTI.,Турция,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+90 5325933815,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67605,SMART FMCG,Россия,,"Республика Армения, Republic of Armenia, ПАВ. 1, СТЕНД 1B53 / PAV. 1, STAND 1B53",+7 (495) 971-3999,,,,,prodexpo_2025,,"{""stand"": ""23""}",2026-06-19T21:18:25.459055+00:00
67606,SNKIGB. RU GROUP OF PUBLICATIONS,Россия,,"The main activity of the company is the sale of FMCG prod-, ucts in the B2B segment worldwide., ПАВ. 1, ВЕРХНИЙ УРОВЕНЬ, СТЕНД 12C54 / PAV. 1, UPPER LEVEL, STAND 12C54",+7 (495) 798-8545,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.459055+00:00
67607,SOC.  AGRICOLA DI VIGNIA,Италия,,"Brandy. Whiskey and others. SnKiGb.ru is a news portal and, telegram channel., ПАВ. 8, ЗАЛ 5, СТЕНД 85A50 / PAV. 8, HALL 5, STAND 85A50",,,,,,prodexpo_2025,,"{""stand"": ""85""}",2026-06-19T21:18:25.459055+00:00
67608,SOC.  AGRICOLA POGGIO MORO,Италия,,"Италия, Italy, ПАВ. 2, ЗАЛ 1, СТЕНД 21B08 / PAV. 2, HALL 1, STAND 21B08",,,,,,prodexpo_2025,,"{""stand"": ""85""}",2026-06-19T21:18:25.459055+00:00
67609,SOC. AGRICOLA BADIA DI MORRONA,Италия,,"Италия, Italy, ПАВ. 2, ЗАЛ 1, СТЕНД 21B08 / PAV. 2, HALL 1, STAND 21B08",+7 (495) 150-1211,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.459055+00:00
67610,SOLEN CIKOLATA GIDA SAN. VE TIC. A. S.,Турция,,"Италия, Italy, ПАВ. 2, ЗАЛ 1, СТЕНД 21B08 / PAV. 2, HALL 1, STAND 21B08",+7 (495) 150-1211,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.459055+00:00
67611,SOLICO KALLEH,Россия,,"Турция, Türkiye, ПАВ. 2, ЗАЛ 4, СТЕНД 24C80 / PAV. 2, HALL 4, STAND 24C80",+7 (495) 150-1211,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.459055+00:00
67612,SPOOM SYRUP,Россия,,"Kalleh, Kalleh-Pro and Sorbon brands to the HoReCa, Retail,, Wholesale, B2B, E-commerce channels., ПАВ. ФОРУМ, СТЕНД FG075 / PAV. FORUM, STAND FG075",+7 (495) 540-4500,,,,,prodexpo_2025,,"{""stand"": ""52""}",2026-06-19T21:18:25.459055+00:00
67613,STORIELLA PICANTO,Россия,,"SSHS GROUP KFT., Венгрия / Hungary, ПАВ. 8, ЗАЛ 3, СТЕНД 83C50 / PAV. 8, HALL 3, STAND 83C50",8 800 550-2907,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67614,SUMMAUL CO.  LTD,Республика Корея,,"Federal District, equipped with modern automated lines,, excellent formulation, and its own raw materials., ПАВ. 8, ЗАЛ 4, СТЕНД 84B25 / PAV. 8, HALL 4, STAND 84B25",+82 41-669-1290,,,,,prodexpo_2025,,"{""stand"": ""84""}",2026-06-19T21:18:25.459055+00:00
67615,TACHENG FENGO TOMATO PRODUCTS CO.  LTD,Китай,,"hstan, as well as neighboring countries —, has 3 branches (in Astana, Almaty, Shymkent)., ПАВ. 1, ВЕРХНИЙ УРОВЕНЬ, СТЕНД 12A90 / PAV. 1, UPPER LEVEL, STAND 12A90",+86 18199892941,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.459055+00:00
67616,TEQUILAS DEL SENOR SA DE CV,Мексика,,"Напитки., Drinks., ПАВ. 8, ЗАЛ 3, СТЕНД 83B32 / PAV. 8, HALL 3, STAND 83B32",+52 33 50005216,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.459055+00:00
67617,THE LOLLIPOP MANUFACTORY,Венгрия,,"appetizers. Company’s portfolio comprises 3 brands, Fun &, Fit, Jumbo and ABC., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+36 30 475 7581,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.459055+00:00
67618,THREE C CORPORATION LLC,Республика Корея,,"ment of handcrafted products, which guarantees premium, quality and traditional look., ПАВ. 8, ЗАЛ 3, СТЕНД 83C50 / PAV. 8, HALL 3, STAND 83C50",+7 (912) 250-5588,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67619,TRADE BEER,Россия,,"2025, ПАВИЛЬОН ФОРУМ, СТЕНД FD020",8 800 350-9905,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67620,TUKAS GIDA SANAYI VE TICARET A. S.,Турция,,"atus of the exclusive distributor of NATAKHTARY’S, lemonade in the territory of the Central Federal District., ПАВ. ЦЕНТРАЛЬНЫЙ, СТЕНД CA44 / PAV. CENTRAL, STAND CA44",+90 232 865 15 55,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67621,TUOYI (FUJIAN) BUSINESS MANAGEMENT CO.  LTD,Китай,,"vegetables, jams, sauces (ketchup, mayonnaise, etc.), and, frozen products., ПАВ. 1, СТЕНД 1B70 / PAV. 1, STAND 1B70",,,,,,prodexpo_2025,,"{""stand"": ""1""}",2026-06-19T21:18:25.459055+00:00
67622,ASSOCIATIONS,Турция,,"Венгрия / Hungary, ПАВ. 8, ЗАЛ 3, СТЕНД 83C50 / PAV. 8, HALL 3, STAND 83C50, TURKISH HAZELNUT EXPORTERS’",+90 454 216 24 26,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67623,ÜLKER,Турция,,"while highlighting their nutritional benefits and versatile, applications., ПАВ. 8, ЗАЛ 3, СТЕНД 83C18 / PAV. 8, HALL 3, STAND 83C18",+7 (495) 941-8408,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67624,Türkiye,Россия,,"ПАВ. 8, ЗАЛ 3, СТЕНД 83C18 / PAV. 8, HALL 3, STAND 83C18, ÜLKER, Турция",+7 (495) 941-8408,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.459055+00:00
67625,UPDATE FOOD HOLDING ZRT,Венгрия,,"production experience it is the world’s second largest biscuit, manufacturer., ПАВ. 2, ЗАЛ 4, СТЕНД 24C60 / PAV. 2, HALL 4, STAND 24C60",+36 70 930 3429,,,,,prodexpo_2025,,"{""stand"": ""24""}",2026-06-19T21:18:25.459055+00:00
67626,V&K PINEAPPLE CANNING CO.  LTD,Таиланд,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+66 (0) 3272 1073-101,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67627,VARVAGLIONE VIGNE E VINI,Италия,,"can 0.5 l, PET package 2 l. Brands: Valjevsko, Jagodinsko and, Eichinger beer., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+39 0995315370,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.459055+00:00
67628,VEGA NATURA TM (TSARITSA TH),Россия,,"ay, the fourth generation is leading the company to-, wards a sustainable future, with respect for the environment., ПАВ. 2, ЗАЛ 1, СТЕНД 21C98 / PAV. 2, HALL 1, STAND 21C98",8 800 201-4964,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.459055+00:00
67629,VENUS BISCUITS TÜRKİYE,Турция,,"grains on our fields in southern Russia, ensuring high quality, of our products., ПАВ. ФОРУМ, СТЕНД FB140 / PAV. FORUM, STAND FB140",+90 2127734040,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67630,VIDYA HERBS PVT.  LTD,Индия,,"2025, ПАВИЛЬОН ФОРУМ, СТЕНД FD020",+7 (999) 812-2838,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67631,VIGOS GIDA SAN.  VE TIC.  A. Ş.,Турция,,"r drying, aging, sorting, packaging, and storage with a plant capacity of 15,000 tons per year., ПАВ. 1, ВЕРХНИЙ УРОВЕНЬ, СТЕНД 12A01 / PAV. 1, UPPER LEVEL, STAND 12A01",+90 3423374747,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.459055+00:00
67632,VINTAGE COFFEE AND BEVERAGES LIMITED,Индия,,"the ability to make wines according to tested recipes older, than a century., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+91 40266650,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.459055+00:00
67633,VINTEGRA,Россия,,"coffee factory with a rich history, one of the leading enter-, prises in India, supplying coffee all over the world., ПАВ. 1, ВЕРХНИЙ УРОВЕНЬ, СТЕНД 12A86 / PAV. 1, UPPER LEVEL, STAND 12A86",+7 (495) 788-8860,,,,,prodexpo_2025,,"{""stand"": ""12""}",2026-06-19T21:18:25.459055+00:00
67634,VISHNEVSKIY,Россия,,"market for more than 25 years, more than 400 brands, more, than 3,000 SKU., ПАВ. 2, ЗАЛ 1, СТЕНД 21D70 / PAV. 2, HALL 1, STAND 21D70",+7 8312123767,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.459055+00:00
67635,VITAMIN TIME,Россия,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+7 (905) 677-3844,,,,,prodexpo_2025,,,2026-06-19T21:18:25.459055+00:00
67636,VITRO Naturals,Россия,,"Production of pastilles and fruit chips. Growing of stone and, pome fruit, processing of fruit and berries., ПАВ. 2, ЗАЛ 3, СТЕНД 23E03 / PAV. 2, HALL 3, STAND 23E03",+7 (812) 240-1236,,,,,prodexpo_2025,,"{""stand"": ""23""}",2026-06-19T21:18:25.760833+00:00
67637,VORGOL TM (DOUBLE BLACK Trade Company),Россия,,"vedic products. ECO BIO COM is an importer of Vit-, ro Naturals juices and KENKO dietary supplements from Japan., ПАВ. ФОРУМ, СТЕНД FM025 / PAV. FORUM, STAND FM025",+7 (495) 989-1512,,,,,prodexpo_2025,,,2026-06-19T21:18:25.760833+00:00
67638,WADI EL NILE,Италия,,"are drinks, snacks and water wholesales for HoReCa, fitness, and retail points of sale., ПАВ. 5, ЗАЛ 2, СТЕНД 52C20 / PAV. 5, HALL 2, STAND 52C20",+7 (495) 369-4086,,,,,prodexpo_2025,,"{""stand"": ""52""}",2026-06-19T21:18:25.760833+00:00
